countries,type,Latitude,Longitude,city,Location,Image_url1,image_url2,time_spent
Gateway of India,Heritage,18.921984,72.834656,Mumbai,https://goo.gl/maps/zWRfPVDMephtQeDQA,https://us.123rf.com/450wm/johnnydevil/johnnydevil1010/johnnydevil101000029/7864027-mumbai-india-5-november-2009-a-group-of-people-walk-under-the-gateway-of-india-in-mumbai-on-november.jpg?ver=6,http://1.bp.blogspot.com/-qPG0CfiaccI/U3yqY0yGVwI/AAAAAAAAK48/OtJu8l81C1I/s1600/india+gate.jpg,45
Chhatrapati Shivaji Terminus / Victoria Terminus,Heritage,18.939911,72.835503,Mumbai,https://goo.gl/maps/YirYnzccPo5kUvHy8,https://c4.wallpaperflare.com/wallpaper/113/868/982/chhatrapati-shivaji-maharaj-terminus-mumbai-india-wallpaper-preview.jpg,https://www.wallpaperkiss.com/wimg/b/232-2327546_big.jpg,30
Sri Siddhivinayak Temple,Pilgrimage,19.01641,72.83176,Mumbai,https://goo.gl/maps/PCbvBscrDZakmVQG6,https://1.bp.blogspot.com/-cqMnrzpqhYA/YQIsUWy0m8I/AAAAAAAACxk/CNgLz_gyvbAUiRQh0siKi3u87yYcoZ5EgCLcBGAsYHQ/s1067/Shree_Siddhivinayak_Temple_Mumbai.jpg,https://www.page3mumbai.com/wp-content/uploads/2014/03/Siddhivinayak-Temple-Mumbaimaharashtra-1.jpg,120
Elephanta Caves,Heritage,18.9633,72.9315,Mumbai,https://goo.gl/maps/mB68uViLMSWHLEFb7,https://media.istockphoto.com/photos/cave-no-3-on-elephanta-island-near-mumbai-india-picture-id927919668?k=20&m=927919668&s=612x612&w=0&h=Q3RYi0qel4UQRMtI-4CVkIfS6xXaP8ImwAjB0n1Frm8=,https://c4.wallpaperflare.com/wallpaper/835/712/11/man-made-statue-elephanta-caves-wallpaper-preview.jpg,120
Juhu Beach,Beach,19.09693677,72.82635212,Mumbai,https://goo.gl/maps/VhsBYuFFkm687z1A7,https://images.unsplash.com/photo-1515453814433-52e741686bbc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mnx8anVodSUyMGJlYWNoJTJDJTIwbXVtYmFpJTJDJTIwaW5kaWF8ZW58MHx8MHx8&w=1000&q=80,https://wallpaperstock.net/juhu-beach-wallpapers_13388_1600x1200.jpg,60
Marine Drive,Nature,18.933191,72.82323,Mumbai,https://goo.gl/maps/iUm1ujNCBwvcvqpD8,https://media.istockphoto.com/photos/cuff-parade-south-mumbai-at-night-picture-id1010105188?b=1&k=20&m=1010105188&s=170667a&w=0&h=ZaLgacfALi-kU9aOgWV5ZM1j-yNKuGOInbwAW1uRVQk=,https://w0.peakpx.com/wallpaper/470/564/HD-wallpaper-marine-drive-mumbai-beach-marine-drive.jpg,45
Sri Babulnath Temple,Pilgrimage,18.957401,72.8093309,Mumbai,https://goo.gl/maps/m33gC8wbvWqYwWsDA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/99/65/95/tempio.jpg?w=1200&h=1200&s=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_c7KB3rTENpwtIf8XGJ7wwHaZFHVERPG1BAS4j6s10dw0YfAS4fIZK4wI13s_mLp_kP4&usqp=CAU,120
Bandra - Worli Sea Link,Miscellaneous,19.0349847,72.81702876,Mumbai,https://goo.gl/maps/jqvk8azXkWZAPxEM6,https://c1.wallpaperflare.com/preview/87/740/32/architecture-bandra-worli-sea-link-bombay-photos.jpg,https://thumbs.dreamstime.com/b/bandra-worli-sea-link-bridge-fishing-boats-view-bandra-fort-mumbai-india-mumbai-skyline-bandra-worli-sea-link-bridge-181959832.jpg,30
Prince Of Wales Museum,Museum,18.92675782,72.8326875,Mumbai,https://g.page/CSMVS?share,https://www.teahub.io/photos/full/170-1707480_prince-of-wales-museum-hd.jpg,https://live.staticflickr.com/3883/15276385946_33aecd9a9b_b.jpg,60
Haji Ali Dargah,Pilgrimage,18.98267833,72.80880511,Mumbai,https://goo.gl/maps/KwLfAYHjdvScANof9,https://t3.ftcdn.net/jpg/01/96/21/46/360_F_196214606_QI9yd3N7KsUfO3YGYUk5ZXTL3JsCBgbR.webp,https://thumbs.dreamstime.com/b/haji-ali-dargah-island-mausoleum-pilgrimage-site-mumbai-maharashtra-india-111040911.jpg,45
