,Gateway of India,Chhatrapati Shivaji Terminus / Victoria Terminus,Sri Siddhivinayak Temple,Elephanta Caves,Juhu Beach,Marine Drive,Sri Babulnath Temple,Bandra - Worli Sea Link,Prince Of Wales Museum,Haji Ali Dargah,Harihareshwar,Kanheri Caves,Mount Mary Church,ISKCON Temple,Chowpatty Beach / Girgaon Chowpatty,Mahalakshmi Temple,Jehangir Art Gallery,Hanging Gardens / Kamla Nehru Park,Mani Bhavan Gandhi Sangrahalaya / Gandhi Museum,Taraporewala Aquarium,Nehru Science Centre,Sanjay Gandhi National Park,Bandra Fort,Madh Fort / Versova Fort,Vasai Fort,Jama Masjid,Bhau Daji Lad Museum / Victoria & Albert Museum,Malshej Ghat,Matheran,Lonavala,Mahabaleshwar,Panchgani,"Karnala Bird Sanctuary, Near Lonavala","Raigad Fort, Near Mahabaleshwar"
Gateway of India,0,1.995383951,10.50412205,11.17355444,19.47346531,1.731267679,4.754365154,12.70109461,0.569778662,7.275914103,105.0713631,32.70212066,13.90104572,118.7301902,3.830425198,6.827754243,0.679569154,4.963388935,4.878479273,3.388954851,7.829346782,34.08107226,13.43016691,23.77056756,45.47026232,26.02915952,6.368719082,109.1544071,48.56700678,62.79346078,140.6534858,150.5027467,30.40607453,99.88234933
Chhatrapati Shivaji Terminus / Victoria Terminus,1.995383951,0,8.515412858,10.42537377,17.4869735,1.491514764,3.370242564,10.74870347,1.492247218,5.522453512,107.0112689,30.74448414,11.92766224,119.4066694,2.393647128,5.15719658,1.454573336,3.715498947,3.374124033,1.926057772,5.921839095,32.12541608,11.46985725,21.82847935,43.48304968,24.50705746,4.375909171,108.2332609,47.91792035,63.32767537,142.1711939,151.9160926,30.60544632,101.351915
Sri Siddhivinayak Temple,10.50412205,8.515412858,0,12.0354902,8.972201544,9.296913048,6.972450405,2.581467778,9.969358438,4.460161596,115.4458298,22.72179128,3.483686423,123.3092456,7.348173156,5.093600573,9.901493062,7.219168278,6.632487096,7.583489828,3.152367662,24.11143473,3.156450253,13.47104998,34.96765198,19.7067316,4.143444053,105.3654106,46.7963675,66.9333788,149.2255163,158.5857489,33.53680315,108.275899
Elephanta Caves,11.17355444,10.42537377,12.0354902,0,18.51970382,11.86871149,12.86428541,14.43548616,11.15840206,13.08056632,108.1680708,27.34347921,14.73470329,111.2916566,12.14962684,13.23559269,11.2417303,13.33122802,12.63406809,11.83189143,12.22855425,28.59754356,14.76049465,23.66606779,42.60703262,16.49944627,10.32104613,97.98317194,37.493974,54.92712608,138.3962837,147.3732199,21.56924588,97.37713635
Juhu Beach,19.47346531,17.4869735,8.972201544,18.51970382,0,18.21068212,15.61851942,6.958101533,18.93477959,12.83815522,124.3624374,14.96673747,5.628365322,128.0353847,16.15992518,13.46373719,18.86369969,15.76094685,15.31287238,16.44966758,11.82785131,16.32033578,6.193576275,5.15344641,25.99681257,18.08756729,13.11536269,103.1711986,47.42625178,71.76255978,156.8941217,165.8845533,38.58575799,115.8809259
Marine Drive,1.731267679,1.491514764,9.296913048,11.86871149,18.21068212,0,3.063310288,11.33772391,1.225250169,5.708015232,106.5299309,31.80119961,12.59515994,120.3124345,2.194100377,5.212118614,1.092334464,3.241893146,3.224738676,1.804018925,6.42200074,33.18650043,12.08416833,22.35286202,44.18742167,25.94669907,5.265327456,109.7177612,49.36165807,64.3156037,142.3760763,152.2335399,31.75895272,101.6103219
Sri Babulnath Temple,4.754365154,3.370242564,6.972450405,12.86428541,15.61851942,3.063310288,0,8.664807715,4.200541864,2.811258493,109.4648605,29.69404435,9.99742148,122.7001763,0.979058644,2.234287192,4.078780717,0.470600756,0.358212537,1.450804037,3.84770433,31.08366683,9.427646202,19.51990161,41.49353367,25.25937618,3.617538375,109.9714423,50.12708993,66.56936005,145.3959756,155.2059648,33.68795363,104.6090752
Bandra - Worli Sea Link,12.70109461,10.74870347,2.581467778,14.43548616,6.958101533,11.33772391,8.664807715,0,12.14640949,5.880117475,117.7596722,21.43047117,1.394453168,125.6199857,9.238719868,6.507104487,12.06445591,8.802873675,8.36423285,9.552412334,4.917058045,22.81429827,0.764870948,11.08234748,32.86161066,20.29771891,6.472299812,106.1357462,48.20605122,69.23563162,151.8065399,161.163091,35.82355411,110.8573655
Prince Of Wales Museum,0.569778662,1.492247218,9.969358438,11.15840206,18.93477959,1.225250169,4.200541864,12.14640949,0,6.706172595,105.6321881,32.23523319,13.35421623,119.1211895,3.267836202,6.259790722,0.133585448,4.424091045,4.316221051,2.822626494,7.267286312,33.61582076,12.87788746,23.21182342,44.93124194,25.77292216,5.842142819,109.1152394,48.60776884,63.14989438,141.1988192,151.033737,30.67537664,100.4209808
Haji Ali Dargah,7.275914103,5.522453512,4.460161596,13.08056632,12.83815522,5.708015232,2.811258493,5.880117475,6.706172595,0,112.2260926,27.09347632,7.23429648,123.8828426,3.519191627,0.643242621,6.60099032,2.922811845,2.541977366,3.912257425,1.393630927,28.48259431,6.644824053,16.7143003,38.68419173,23.67510741,2.760800623,108.9572401,49.65739401,67.6228747,147.6527795,157.3310744,34.46240644,106.8088266
